From	To
P52948	P52948
P49815	P49815
Q8IVT5	Q8IVT5
Q9Y6R0	Q9Y6R0
O43633	O43633
Q9NUP1	Q9NUP1
Q9GZR7	Q9GZR7
P46783	P46783
Q53F19	Q53F19
Q07157	Q07157
Q04721	Q04721
P29966	P29966
O14617	O14617
Q9H0D6	Q9H0D6
P27824	P27824
Q9UK58	Q9UK58
P51531	P51531
Q9H4I2	Q9H4I2
Q9NU22	Q9NU22
Q15459	Q15459
Q99547	Q99547
Q9Y2W1	Q9Y2W1
Q9NWQ8	Q9NWQ8
P80723	P80723
Q9BY11	Q9BY11
Q0ZGT2	Q0ZGT2
Q13023	Q13023
Q9P0K7	Q9P0K7
P78559	P78559
Q8IXS6	Q8IXS6
P51532	P51532
P48634	P48634
Q86UE8	Q86UE8
Q9BZ29	Q9BZ29
Q8NE71	Q8NE71
O75128	O75128
Q9NQC3	Q9NQC3
Q9Y343	Q9Y343
O75691	O75691
P34932	P34932
Q5T8D3	Q5T8D3
Q9NUA8	Q9NUA8
Q8NDI1	Q8NDI1
O60841	O60841
P51608	P51608
Q9H6B4	Q9H6B4
Q9P2K5	Q9P2K5
Q9BVS4	Q9BVS4
Q5VWP3	Q5VWP3
P21333	P21333
Q9Y520	Q9Y520
Q9UPN3	Q9UPN3
Q6PD74	Q6PD74
Q13367	Q13367
Q86VM9	Q86VM9
Q9Y320	Q9Y320
Q9H3Q1	Q9H3Q1
Q93009	Q93009
O95208	O95208
O94885	O94885
O60832	O60832
Q14692	Q14692
Q9UQ35	Q9UQ35
Q12770	Q12770
Q15223	Q15223
Q53GL7	Q53GL7
P50993	P50993
Q9H4L4	Q9H4L4
Q2M2I8	Q2M2I8
Q9P2M4	Q9P2M4
Q6F5E8	Q6F5E8
Q8N2Y8	Q8N2Y8
Q9HCH0	Q9HCH0
Q8TEJ3	Q8TEJ3
Q9UK96	Q9UK96
Q6PJG2	Q6PJG2
O75113	O75113
P51116	P51116
Q8IZD4	Q8IZD4
P61966	P61966
Q86V48	Q86V48
P36871	P36871
Q4ADV7	Q4ADV7
O00401	O00401
Q9BXI6	Q9BXI6
Q9H6S1	Q9H6S1
P51114	P51114
P06753	P06753
P09493	P09493
Q9Y4I1	Q9Y4I1
Q32P44	Q32P44
Q8N6H7	Q8N6H7
Q92667	Q92667
Q6KC79	Q6KC79
P53396	P53396
Q9GZT9	Q9GZT9
Q92576	Q92576
Q9Y618	Q9Y618
P07197	P07197
Q9NSY0	Q9NSY0
Q9H501	Q9H501
O60336	O60336
Q8IY81	Q8IY81
Q32MZ4	Q32MZ4
P13798	P13798
O00461	O00461
P35579	P35579
Q9Y617	Q9Y617
Q9BXY0	Q9BXY0
P00558	P00558
Q2LD37	Q2LD37
Q13769	Q13769
Q9BQG0	Q9BQG0
O94876	O94876
P11831	P11831
Q9P2N2	Q9P2N2
Q8IWR0	Q8IWR0
Q8N554	Q8N554
P49589	P49589
O75151	O75151
Q9Y250	Q9Y250
Q9Y3M8	Q9Y3M8
Q96L91	Q96L91
P11717	P11717
Q6R327	Q6R327
Q07021	Q07021
Q5VTR2	Q5VTR2
Q15276	Q15276
Q6JBY9	Q6JBY9
Q12955	Q12955
Q9BQI0	Q9BQI0
Q9Y2H5	Q9Y2H5
Q86TI0	Q86TI0
P61006	P61006
P25445	P25445
O75396	O75396
Q96HC4	Q96HC4
Q8WVC0	Q8WVC0
Q92530	Q92530
Q6AI08	Q6AI08
Q8N3V7	Q8N3V7
Q9ULD9	Q9ULD9
E9PAV3	E9PAV3
Q8NEY1	Q8NEY1
Q9H3Z4	Q9H3Z4
Q96B97	Q96B97
Q9H7D0	Q9H7D0
Q8TBF4	Q8TBF4
Q969G5	Q969G5
Q9NQX5	Q9NQX5
Q06265	Q06265
P20290	P20290
P41252	P41252
P00966	P00966
Q96L96	Q96L96
Q9Y4B5	Q9Y4B5
A8CG34	A8CG34
Q66K14	Q66K14
Q9Y676	Q9Y676
Q8TE77	Q8TE77
O15014	O15014
Q9UJ41	Q9UJ41
Q12893	Q12893
Q5T5Y3	Q5T5Y3
Q9UJZ1	Q9UJZ1
Q14980	Q14980
Q13200	Q13200
Q96JH7	Q96JH7
Q9Y4H2	Q9Y4H2
P43686	P43686
Q6P996	Q6P996
O75376	O75376
O15075	O15075
Q5T5U3	Q5T5U3
Q9Y4J8	Q9Y4J8
Q9Y4W2	Q9Y4W2
Q02818	Q02818
Q15811	Q15811
Q14678	Q14678
Q96RK0	Q96RK0
Q9H8Y5	Q9H8Y5
Q14152	Q14152
Q9HBR0	Q9HBR0
Q05655	Q05655
Q96QD9	Q96QD9
Q13247	Q13247
Q9UBI6	Q9UBI6
Q711Q0	Q711Q0
Q14247	Q14247
Q63ZY6	Q63ZY6
O75364	O75364
Q4V9L6	Q4V9L6
Q99592	Q99592
Q9C0E8	Q9C0E8
Q68DQ2	Q68DQ2
Q68CZ2	Q68CZ2
Q96FT9	Q96FT9
Q9NRA8	Q9NRA8
Q14155	Q14155
Q96QE2	Q96QE2
Q6P1N0	Q6P1N0
Q5QJE6	Q5QJE6
Q8NDT2	Q8NDT2
Q8NBV4	Q8NBV4
Q02880	Q02880
O75167	O75167
Q12778	Q12778
Q92783	Q92783
Q14677	Q14677
Q8IU81	Q8IU81
Q9H1B7	Q9H1B7
Q8TB72	Q8TB72
O00273	O00273
Q8IVB4	Q8IVB4
Q8N5I9	Q8N5I9
O43426	O43426
Q96PE3	Q96PE3
Q86YS7	Q86YS7
Q96CP2	Q96CP2
O94804	O94804
A1X283	A1X283
Q9H2I8	Q9H2I8
O15143	O15143
Q9H019	Q9H019
Q9Y2K5	Q9Y2K5
O43182	O43182
O75147	O75147
Q9Y490	Q9Y490
O75122	O75122
P57103	P57103
P51956	P51956
Q9NPI6	Q9NPI6
Q66PJ3	Q66PJ3
Q8NFH5	Q8NFH5
Q8N1G2	Q8N1G2
Q5SW79	Q5SW79
O43795	O43795
Q9UJV3	Q9UJV3
O15344	O15344
Q8TDY2	Q8TDY2
O75410	O75410
P20929	P20929
Q14966	Q14966
Q8N1G0	Q8N1G0
Q9BRD0	Q9BRD0
P01008	P01008
Q9UH99	Q9UH99
Q96GA3	Q96GA3
P11137	P11137
Q8IY33	Q8IY33
Q8N3X1	Q8N3X1
Q02641	Q02641
Q9UQN3	Q9UQN3
Q9H0E9	Q9H0E9
Q5VZP5	Q5VZP5
Q9P0V9	Q9P0V9
O95810	O95810
